kruskal,325,1,32702000,8
kruskal,325,2,30120946,8
kruskal,325,3,31132750,8
kruskal,325,4,31233123,8
kruskal,325,5,29734253,8
kruskal,325,6,31931510,8
kruskal,325,7,30291628,8
kruskal,325,8,30210406,8
kruskal,325,9,30300095,8
kruskal,325,10,29278482,8
kruskal,650,1,103099390,8
kruskal,650,2,96058156,8
kruskal,650,3,97167000,8
kruskal,650,4,102675676,8
kruskal,650,5,96304967,8
kruskal,650,6,96923343,8
kruskal,650,7,97238939,8
kruskal,650,8,97970213,8
kruskal,650,9,95357676,8
kruskal,650,10,99840317,8
kruskal,975,1,208300441,10
kruskal,975,2,194691523,10
kruskal,975,3,199258333,10
kruskal,975,4,193380788,10
kruskal,975,5,198182704,10
kruskal,975,6,194847947,10
kruskal,975,7,195185837,10
kruskal,975,8,199170739,10
kruskal,975,9,197194289,10
kruskal,975,10,196993854,10
kruskal,1300,1,363589763,18
kruskal,1300,2,341951198,18
kruskal,1300,3,342263222,18
kruskal,1300,4,361518886,18
kruskal,1300,5,347163204,18
kruskal,1300,6,349658465,18
kruskal,1300,7,342865874,18
kruskal,1300,8,346289702,18
kruskal,1300,9,348331354,18
kruskal,1300,10,352529366,18
kruskal,1625,1,554017587,14
kruskal,1625,2,544820570,14
kruskal,1625,3,544962060,14
kruskal,1625,4,541304581,14
kruskal,1625,5,538754474,14
kruskal,1625,6,544182393,14
kruskal,1625,7,540087846,14
kruskal,1625,8,543773431,14
kruskal,1625,9,542739080,14
kruskal,1625,10,541245790,14
kruskal,1950,1,787439724,14
kruskal,1950,2,782408465,14
kruskal,1950,3,783845450,14
kruskal,1950,4,777563724,14
kruskal,1950,5,777460546,14
kruskal,1950,6,789502167,14
kruskal,1950,7,769017782,14
kruskal,1950,8,778319649,14
kruskal,1950,9,801122866,14
kruskal,1950,10,773388534,14
kruskal,2275,1,1098817613,21
kruskal,2275,2,1064406452,21
kruskal,2275,3,1064247096,21
kruskal,2275,4,1055091369,21
kruskal,2275,5,1058467847,21
kruskal,2275,6,1065709911,21
kruskal,2275,7,1057067793,21
kruskal,2275,8,1067681484,21
kruskal,2275,9,1066328186,21
kruskal,2275,10,1057898153,21
kruskal,2600,1,1389826766,25
kruskal,2600,2,1382915933,25
kruskal,2600,3,1368671137,25
kruskal,2600,4,1376026604,25
kruskal,2600,5,1374007408,25
kruskal,2600,6,1374015530,25
kruskal,2600,7,1380512397,25
kruskal,2600,8,1376460654,25
kruskal,2600,9,1388225682,25
kruskal,2600,10,1397483234,25
kruskal,2925,1,1847073217,23
kruskal,2925,2,1781076411,23
kruskal,2925,3,1802813860,23
kruskal,2925,4,1785932539,23
kruskal,2925,5,1803829272,23
kruskal,2925,6,1790581894,23
kruskal,2925,7,1782852641,23
kruskal,2925,8,1769365344,23
kruskal,2925,9,1779395047,23
kruskal,2925,10,1790553903,23
kruskal,3250,1,2198954546,27
kruskal,3250,2,2177141889,27
kruskal,3250,3,2184006174,27
kruskal,3250,4,2181278459,27
kruskal,3250,5,2169734727,27
kruskal,3250,6,2174382701,27
kruskal,3250,7,2188213606,27
kruskal,3250,8,2182352901,27
kruskal,3250,9,2190821438,27
kruskal,3250,10,2209994415,27
kruskal,3575,1,2643159187,26
kruskal,3575,2,2633951127,26
kruskal,3575,3,2645852714,26
kruskal,3575,4,2676811799,26
kruskal,3575,5,2689428523,26
kruskal,3575,6,2625581617,26
kruskal,3575,7,2631445911,26
kruskal,3575,8,2649615465,26
kruskal,3575,9,2629016295,26
kruskal,3575,10,2624322645,26
kruskal,3900,1,3144442425,28
kruskal,3900,2,3135078830,28
kruskal,3900,3,3154158866,28
kruskal,3900,4,3139697079,28
kruskal,3900,5,3151149163,28
kruskal,3900,6,3150828981,28
kruskal,3900,7,3127636196,28
kruskal,3900,8,3138826398,28
kruskal,3900,9,3140762686,28
kruskal,3900,10,3119587494,28
kruskal,4225,1,3784079386,31
kruskal,4225,2,3825535258,31
kruskal,4225,3,3893722438,31
kruskal,4225,4,3821989281,31
kruskal,4225,5,3867877151,31
kruskal,4225,6,3848704444,31
kruskal,4225,7,3827276572,31
kruskal,4225,8,3712819562,31
kruskal,4225,9,3736918093,31
kruskal,4225,10,3731838821,31
kruskal,4550,1,4429176632,35
kruskal,4550,2,4402852268,35
kruskal,4550,3,4417014381,35
kruskal,4550,4,4468098751,35
kruskal,4550,5,4413721151,35
kruskal,4550,6,4451902705,35
kruskal,4550,7,4313261972,35
kruskal,4550,8,4363378376,35
kruskal,4550,9,4372190590,35
kruskal,4550,10,4348936816,35
kruskal,4875,1,5057442019,37
kruskal,4875,2,5117226795,37
kruskal,4875,3,5106012677,37
kruskal,4875,4,5123706320,37
kruskal,4875,5,5099980914,37
kruskal,4875,6,5036416611,37
kruskal,4875,7,5018882754,37
kruskal,4875,8,5004842487,37
kruskal,4875,9,5017859346,37
kruskal,4875,10,5001529141,37
kruskal,5200,1,5743799185,38
kruskal,5200,2,5759172437,38
kruskal,5200,3,5760428180,38
kruskal,5200,4,5809132136,38
kruskal,5200,5,5732721517,38
kruskal,5200,6,5668123120,38
kruskal,5200,7,5641924742,38
kruskal,5200,8,5646521812,38
kruskal,5200,9,5662572258,38
kruskal,5200,10,5659326337,38
kruskal,5525,1,6309142935,43
kruskal,5525,2,6398144054,43
kruskal,5525,3,6358554239,43
kruskal,5525,4,6371426555,43
kruskal,5525,5,6227655483,43
kruskal,5525,6,6205283029,43
kruskal,5525,7,6154836301,43
kruskal,5525,8,6207737005,43
kruskal,5525,9,6187675997,43
kruskal,5525,10,6199396064,43
kruskal,5850,1,7638733184,37
kruskal,5850,2,7653303994,37
kruskal,5850,3,7694232332,37
kruskal,5850,4,7578065143,37
kruskal,5850,5,7564892942,37
kruskal,5850,6,7524362970,37
kruskal,5850,7,7494196306,37
kruskal,5850,8,7465721448,37
kruskal,5850,9,7442871423,37
kruskal,5850,10,7493488918,37
kruskal,6175,1,8436836739,44
kruskal,6175,2,8431244940,44
kruskal,6175,3,8466541503,44
kruskal,6175,4,8311099048,44
kruskal,6175,5,8291819502,44
kruskal,6175,6,8317980225,44
kruskal,6175,7,8325898938,44
kruskal,6175,8,8238669815,44
kruskal,6175,9,8209379222,44
kruskal,6175,10,8283241180,44
kruskal,6500,1,9317747411,54
kruskal,6500,2,9415406800,54
kruskal,6500,3,9274044010,54
kruskal,6500,4,9138918203,54
kruskal,6500,5,9292894853,54
kruskal,6500,6,9186932663,54
kruskal,6500,7,9187733477,54
kruskal,6500,8,9137747853,54
kruskal,6500,9,9103425958,54
kruskal,6500,10,9305163908,54
kruskal-pc,325,1,30461602,8
kruskal-pc,325,2,28666654,8
